video_name,transition_timestamp,adaptive_threshold
11M_anger.avi,0.467,0.007
11M_fear.avi,0.701,0.0133
11M_happiness.avi,0.467,0.0038
11M_neutral.avi,0.734,0.0028
11M_sadness.avi,0.534,0.0041
12F_anger.avi,0.467,0.0022
12F_fear.avi,0.501,0.0022
12F_happiness.avi,0.534,0.0031
12F_neutral.avi,0.601,0.0011
12F_sadness.avi,0.901,0.0044
15F_anger.avi,0.601,0.0083
15F_fear.avi,0.501,0.0042
15F_happiness.avi,0.467,0.002
15F_neutral.avi,0.467,0.0022
15F_sadness.avi,0.801,0.0074
16F_anger.avi,0.467,0.0024
16F_fear.avi,0.667,0.0031
16F_happiness.avi,0.634,0.0041
16F_neutral.avi,0.501,0.0013
16F_sadness.avi,0.701,0.0027
3M_anger.avi,0.634,0.0044
3M_fear.avi,0.467,0.0034
3M_happiness.avi,0.501,0.0029
3M_neutral.avi,0.501,0.002
3M_sadness.avi,0.467,0.0036
5F_anger.avi,0.467,0.0074
5F_fear.avi,0.667,0.0034
5F_happiness.avi,0.467,0.0048
5F_neutral.avi,0.634,0.0019
5F_sadness.avi,0.567,0.0068
6M_anger.avi,0.467,0.0074
6M_fear.avi,0.534,0.0032
6M_happiness.avi,0.501,0.003
6M_neutral.avi,0.501,0.0018
6M_sadness.avi,0.467,0.0053
8M_anger.avi,0.601,0.0061
8M_fear.avi,0.467,0.0032
8M_happiness.avi,0.467,0.0028
8M_neutral.avi,0.601,0.0014
8M_sadness.avi,0.534,0.0085
